gamma,Q,M,M_over_Mcj,c2,n_sonic,n_sonic_high,theta_cj_deg,theta_max_deg,beta_max_deg,theta_s_deg,beta_s_deg,u_s,R_s,order_ok,weak_ok
1.15,10.0,13.67014526649015,5.0,-418.0576046959691,1,1,4.58779508031847,57.892053021984246,74.1610387371249,57.8919431666994,74.1171729724319,172.87688061584265,169.0326840630568,True,True
1.15,10.0,21.87223242638424,8.0,-1088.5574680216805,1,1,2.878586435135002,59.40743234663057,74.78284303264232,59.407416415794785,74.7664978750866,445.3665026902761,441.54689846711005,True,True
1.15,10.0,41.01043579947045,15.0,-3856.5184422637208,1,1,1.5378979575794776,60.120985345757084,75.08236233245414,60.120984088676494,75.07781997429798,1570.3323380314177,1566.5236899052531,True,True
1.15,20.0,3.6269050008993964,1.0005,-9.055211736762827,1,1,1.362813100549593,1.3652529050941113,88.19176108571975,1.3652407559243178,88.19132146159043,13.141335833681131,0.02301125768721235,True,True
1.15,20.0,3.628717547126732,1.001,-9.085459384698535,1,1,1.9238185253695976,1.9307052021493234,87.44784722722042,1.9306710535276306,87.44661223547402,13.1414569648538,0.04595808290979875,True,True
1.15,20.0,3.6613433792187813,1.01,-9.632501283263178,1,1,5.891758205200057,6.101787081103397,82.20549688781415,6.100820887930545,82.17085103046618,13.156687063583163,0.4487017949897094,True,True
1.15,20.0,3.806347077405664,1.05,-12.123039569451677,1,1,11.557261655841256,13.583466390531912,74.78894905925182,13.576681942602022,74.54812485825029,13.459837000627791,2.064771065622578,True,True
1.15,20.0,3.9876017001392667,1.1,-15.372224833593224,1,1,14.164331702238666,19.04624984728024,71.30716835506206,19.03491258234217,70.89406231140359,14.197406867353568,3.861823362652821,True,True
1.15,20.0,4.350110945606472,1.2,-22.323970049896047,1,1,15.756209959905508,26.32776466780891,68.84055387101775,26.314928596204272,68.31944778972074,16.34079956836917,7.213805404400704,True,True
1.15,20.0,5.437638682008091,1.5,-46.80620320296257,1,1,14.785484977939863,38.31908110889919,68.60459650235649,38.31266094099564,68.21371919368846,25.494964240256675,17.720504590957304,True,True
1.15,20.0,7.250184909344121,2.0,-99.6999168052668,1,1,11.77588597006577,47.4240439312175,70.52146412531455,47.42220942817503,70.32130892482954,46.604433857739636,39.45863931238745,True,True
1.15,20.0,10.875277364016181,3.0,-250.82481281185028,1,1,8.071877389429194,54.31823091247446,72.78138196786976,54.31792395763251,72.7047247478651,107.81821779866519,100.998477785054,True,True
1.15,20.0,18.125462273360302,5.0,-734.4244800329175,1,1,4.8971927818137475,58.13084155664207,74.2580688131851,58.13080623222712,74.23328804747622,304.2760509639586,297.5956645519037,True,True
1.15,20.0,29.000739637376483,8.0,-1913.1986688842685,1,1,3.0712202446815393,59.50492098529026,74.82356946089104,59.50491584500744,74.81429983774478,783.3331231349699,776.6969559553161,True,True
1.15,20.0,54.37638682008091,15.0,-6779.420320296257,1,1,1.6404540125415858,60.14931683762502,75.09434499816773,60.14931643123677,75.0917635592121,2761.0851649491246,2754.468722830661,True,True
1.15,50.0,5.480891703650112,1.0005,-19.54239989442346,1,1,1.4773076646174437,1.4799134133179968,88.19171415141163,1.479910715541958,88.19151269038376,30.01025508744697,0.05444346401456812,True,True
1.15,50.0,5.48363077996378,1.001,-19.611475021222205,1,1,2.08524525076147,2.0925991179920262,87.44771650997171,2.09259153793614,87.44715059574347,30.010550530783565,0.10872300763988818,True,True
1.15,50.0,5.5329341536098084,1.01,-20.860728800818364,1,1,6.375644232741961,6.599286272910755,82.20239138613519,6.599073199316777,82.18653304242454,30.047564912160286,1.0596197053337661,True,True
1.15,50.0,5.752060258703266,1.05,-26.54825360543304,1,1,12.4336802739878,14.569081342587152,74.78364920381588,14.567623846445231,74.67417016118436,30.774840304566222,4.848458528190818,True,True
1.15,50.0,6.025967890070088,1.1,-33.96826472795825,1,1,15.161355111993087,20.258775949141654,71.3307231931553,20.256403679406677,71.14468244031688,32.51965214975474,9.029081544036003,True,True
